kappa,rep,rho,wald_none_t1,wald_none_bh,wald_logN_t1,wald_logN_bh,wald_zola_t1,wald_zola_bh,perm_plain_C_t1,perm_plain_C_bh,perm_plain_O_t1,perm_plain_O_bh,perm_strata_O_t1,perm_strata_O_bh
0.0,0,-0.016,0.052083333333333336,0,0.05263157894736842,0,0.054945054945054944,0,0.041666666666666664,0,0.041666666666666664,0,0.041666666666666664,0
0.0,1,-0.022,0.0,0,0.021052631578947368,0,0.01098901098901099,0,0.0,0,0.0,0,0.010416666666666666,0
0.0,2,-0.018,0.041666666666666664,0,0.031578947368421054,0,0.02197802197802198,0,0.052083333333333336,0,0.010416666666666666,0,0.020833333333333332,0
0.0,3,0.004,0.09375,0,0.09473684210526316,0,0.07692307692307693,0,0.11458333333333333,0,0.08333333333333333,0,0.07291666666666667,0
0.0,4,-0.083,0.020833333333333332,0,0.010526315789473684,0,0.01098901098901099,0,0.041666666666666664,0,0.020833333333333332,0,0.0,0
0.0,5,-0.113,0.010416666666666666,0,0.05263157894736842,0,0.04395604395604396,0,0.03125,0,0.052083333333333336,0,0.052083333333333336,0
0.0,6,0.095,0.03125,0,0.042105263157894736,0,0.04395604395604396,0,0.03125,0,0.03125,0,0.03125,0
0.0,7,0.108,0.21875,0,0.05263157894736842,0,0.043478260869565216,0,0.21875,0,0.052083333333333336,0,0.041666666666666664,0
0.0,8,-0.005,0.020833333333333332,0,0.021052631578947368,0,0.03296703296703297,0,0.020833333333333332,0,0.03125,0,0.041666666666666664,0
0.0,9,-0.043,0.020833333333333332,0,0.010526315789473684,0,0.01098901098901099,0,0.020833333333333332,0,0.010416666666666666,0,0.010416666666666666,0
0.0,10,0.083,0.09375,0,0.07368421052631578,0,0.06593406593406594,0,0.0625,0,0.052083333333333336,0,0.052083333333333336,0
0.0,11,-0.016,0.041666666666666664,0,0.042105263157894736,0,0.06593406593406594,0,0.041666666666666664,0,0.041666666666666664,0,0.03125,0
0.0,12,0.074,0.052083333333333336,0,0.07368421052631578,0,0.07692307692307693,0,0.041666666666666664,0,0.07291666666666667,0,0.041666666666666664,0
0.0,13,-0.142,0.25,0,0.031578947368421054,0,0.03296703296703297,0,0.25,0,0.041666666666666664,0,0.041666666666666664,0
0.0,14,-0.011,0.0625,0,0.06315789473684211,0,0.054945054945054944,0,0.052083333333333336,0,0.07291666666666667,0,0.0625,0
0.0,15,-0.123,0.010416666666666666,0,0.0,0,0.01098901098901099,0,0.010416666666666666,0,0.010416666666666666,0,0.010416666666666666,0
0.0,16,0.063,0.08333333333333333,0,0.08421052631578947,0,0.08791208791208792,0,0.08333333333333333,0,0.08333333333333333,0,0.11458333333333333,0
0.0,17,-0.019,0.09375,0,0.15789473684210525,0,0.09782608695652174,0,0.10416666666666667,0,0.125,0,0.10416666666666667,0
0.0,18,-0.027,0.041666666666666664,0,0.042105263157894736,0,0.06593406593406594,0,0.03125,0,0.052083333333333336,0,0.052083333333333336,0
0.0,19,0.054,0.052083333333333336,0,0.08421052631578947,0,0.0989010989010989,0,0.0625,0,0.10416666666666667,0,0.11458333333333333,0
1.0,0,0.251,0.16666666666666666,1,0.042105263157894736,0,0.03296703296703297,0,0.14583333333333334,3,0.03125,0,0.010416666666666666,0
1.0,1,0.282,0.4895833333333333,35,0.07368421052631578,0,0.06593406593406594,0,0.4791666666666667,34,0.08333333333333333,0,0.041666666666666664,0
1.0,2,0.278,0.34375,0,0.010526315789473684,0,0.03296703296703297,0,0.3541666666666667,4,0.03125,0,0.03125,0
1.0,3,0.3,0.375,10,0.05263157894736842,0,0.06593406593406594,0,0.375,0,0.03125,0,0.0625,0
1.0,4,0.317,0.4583333333333333,31,0.010526315789473684,0,0.03296703296703297,0,0.4583333333333333,29,0.020833333333333332,0,0.010416666666666666,0
1.0,5,0.293,0.34375,17,0.05263157894736842,0,0.04395604395604396,0,0.3541666666666667,0,0.0625,0,0.020833333333333332,0
1.0,6,0.293,0.4375,19,0.031578947368421054,0,0.03296703296703297,0,0.40625,13,0.03125,0,0.020833333333333332,0
1.0,7,0.3,0.4791666666666667,35,0.042105263157894736,0,0.054945054945054944,1,0.4791666666666667,36,0.08333333333333333,0,0.03125,0
