cell,rep,mode,arm,secs,nfail,nrej,fdp,tpr,tprP,tprA,typeI,det_share
2001,0,complete_wilcoxon,after,29.4,0,10,0.0,1.0,1.0,,0.022222222222222223,0.9
2001,0,complete_linda,after,1.7,0,10,0.0,1.0,1.0,,0.022222222222222223,0.6
2001,1,complete_wilcoxon,after,29.1,0,10,0.0,1.0,1.0,,0.03333333333333333,1.0
2001,1,complete_linda,after,1.6,0,10,0.0,1.0,1.0,,0.011111111111111112,0.7
2001,2,complete_wilcoxon,after,30.9,0,11,0.09090909090909091,1.0,1.0,,0.07777777777777778,0.8181818181818182
2001,2,complete_linda,after,1.7,0,11,0.09090909090909091,1.0,1.0,,0.07777777777777778,0.5454545454545454
2001,3,complete_wilcoxon,after,29.3,0,11,0.09090909090909091,1.0,1.0,,0.06666666666666667,0.9090909090909091
2001,3,complete_linda,after,1.7,0,11,0.09090909090909091,1.0,1.0,,0.07777777777777778,0.8181818181818182
2001,4,complete_wilcoxon,after,28.4,0,12,0.16666666666666666,1.0,1.0,,0.08888888888888889,0.8333333333333334
2001,4,complete_linda,after,1.7,0,12,0.16666666666666666,1.0,1.0,,0.1111111111111111,0.4166666666666667
2001,5,complete_wilcoxon,after,29.8,0,10,0.0,1.0,1.0,,0.03333333333333333,1.0
2001,5,complete_linda,after,1.7,0,10,0.0,1.0,1.0,,0.022222222222222223,0.8
2001,6,complete_wilcoxon,after,29.9,0,10,0.0,1.0,1.0,,0.05555555555555555,1.0
2001,6,complete_linda,after,1.6,0,10,0.0,1.0,1.0,,0.08888888888888889,1.0
2001,7,complete_wilcoxon,after,29.9,0,11,0.09090909090909091,1.0,1.0,,0.05555555555555555,0.7272727272727273
2001,7,complete_linda,after,1.6,0,10,0.0,1.0,1.0,,0.03333333333333333,0.7
2001,8,complete_wilcoxon,after,30.5,0,12,0.16666666666666666,1.0,1.0,,0.044444444444444446,0.8333333333333334
2001,8,complete_linda,after,1.7,0,11,0.09090909090909091,1.0,1.0,,0.044444444444444446,0.36363636363636365
2001,9,complete_wilcoxon,after,30.0,0,10,0.0,1.0,1.0,,0.022222222222222223,1.0
2001,9,complete_linda,after,1.8,0,10,0.0,1.0,1.0,,0.044444444444444446,0.7
2001,10,complete_wilcoxon,after,29.9,0,11,0.09090909090909091,1.0,1.0,,0.044444444444444446,0.8181818181818182
2001,10,complete_linda,after,1.7,0,10,0.0,1.0,1.0,,0.03333333333333333,0.7
2001,11,complete_wilcoxon,after,27.0,0,12,0.16666666666666666,1.0,1.0,,0.05555555555555555,0.9166666666666666
2001,11,complete_linda,after,1.6,0,11,0.09090909090909091,1.0,1.0,,0.05555555555555555,0.45454545454545453
2001,12,complete_wilcoxon,after,29.4,0,12,0.16666666666666666,1.0,1.0,,0.1111111111111111,0.9166666666666666
2001,12,complete_linda,after,1.6,0,16,0.375,1.0,1.0,,0.12222222222222222,0.375
2001,13,complete_wilcoxon,after,29.5,0,11,0.09090909090909091,1.0,1.0,,0.03333333333333333,0.7272727272727273
2001,13,complete_linda,after,1.7,0,11,0.09090909090909091,1.0,1.0,,0.03333333333333333,0.2727272727272727
2001,14,complete_wilcoxon,after,29.4,0,10,0.0,1.0,1.0,,0.03333333333333333,1.0
2001,14,complete_linda,after,1.7,0,10,0.0,1.0,1.0,,0.022222222222222223,0.3
2001,15,complete_wilcoxon,after,29.7,0,11,0.09090909090909091,1.0,1.0,,0.1,0.9090909090909091
