cohort,arm,taxon,tier,injected,recovered,attributed,p_comb,p_det,p_int,prev
agp,intensity,Streptococcus,0,int,True,int,0.0002,0.8002,0.0001,0.809
agp,intensity,Anaerostipes,0,int,True,int,0.0001,0.097,0.0001,0.689
agp,intensity,Odoribacter,0,int,True,int,0.0002,0.1278,0.0001,0.647
agp,intensity,Blautia,0,int,True,int,0.0001,0.2228,0.0001,0.984
agp,intensity,unclassified_unknown,0,int,False,int,0.04,0.1689,0.0231,0.98
agp,intensity,Eggerthella,1,int,True,int,0.0001,0.2728,0.0001,0.3
agp,intensity,Turicibacter,1,int,False,int,0.048,0.8585,0.021,0.41
agp,intensity,Lachnobacterium,1,int,True,det,0.0007,0.0005,0.0011,0.27
agp,intensity,Anaerofilum,1,int,True,int,0.0094,0.2091,0.0047,0.201
agp,intensity,Butyricimonas,1,int,True,int,0.0001,0.0007,0.0001,0.464
agp,intensity,Christensenella,2,int,False,det,0.0169,0.1583,0.0128,0.067
agp,intensity,Fusobacterium,2,int,False,int,0.51,0.6672,0.3477,0.157
agp,intensity,Megamonas,2,int,False,det,0.6679,0.5996,0.7312,0.061
agp,intensity,Mogibacterium,2,int,True,int,0.0023,0.6743,0.0012,0.079
agp,intensity,Comamonas,2,int,False,det,0.5876,0.389,0.739,0.113
agp,presence,Streptococcus,0,det,True,det,0.0001,0.0001,0.0001,0.809
agp,presence,Anaerostipes,0,det,True,det,0.0002,0.0001,0.8882,0.689
agp,presence,Odoribacter,0,det,True,det,0.0001,0.0001,0.4474,0.647
agp,presence,Blautia,0,det,True,det,0.0001,0.0001,0.2106,0.984
agp,presence,unclassified_unknown,0,det,True,det,0.0001,0.0001,0.0075,0.98
agp,presence,Eggerthella,1,det,True,det,0.0028,0.0014,0.6825,0.3
agp,presence,Turicibacter,1,det,True,det,0.0002,0.0001,0.3028,0.41
agp,presence,Lachnobacterium,1,det,True,det,0.0002,0.0001,0.9866,0.27
agp,presence,Anaerofilum,1,det,True,det,0.0014,0.0007,0.7132,0.201
agp,presence,Butyricimonas,1,det,True,det,0.0001,0.0001,0.3068,0.464
agp,presence,Christensenella,2,det,True,det,0.0081,0.0087,0.0128,0.067
agp,presence,Fusobacterium,2,det,True,det,0.0015,0.0008,0.9512,0.157
agp,presence,Megamonas,2,det,False,det,0.5547,0.1718,0.8431,0.061
agp,presence,Mogibacterium,2,det,True,det,0.0013,0.0007,0.8823,0.079
agp,presence,Comamonas,2,det,False,det,0.203,0.1136,0.4841,0.113
