cell,rep,arm,nrej,tpr,fdp,typeI,typeI_det,typeI_int,n_truth,nfail
2001,0,unadj,12,1.0,0.16666666666666666,0.022222222222222223,0.022222222222222223,0.03333333333333333,10,0
2001,0,rich,12,1.0,0.16666666666666666,0.022222222222222223,0.0,0.03333333333333333,10,0
2001,1,unadj,10,1.0,0.0,0.011111111111111112,0.05555555555555555,0.044444444444444446,10,0
2001,1,rich,10,1.0,0.0,0.05555555555555555,0.05555555555555555,0.044444444444444446,10,0
2001,2,unadj,11,1.0,0.09090909090909091,0.03333333333333333,0.06666666666666667,0.0,10,0
2001,2,rich,10,1.0,0.0,0.022222222222222223,0.022222222222222223,0.0,10,0
2001,3,unadj,10,1.0,0.0,0.044444444444444446,0.044444444444444446,0.03333333333333333,10,0
2001,3,rich,10,1.0,0.0,0.044444444444444446,0.05555555555555555,0.03333333333333333,10,0
2001,4,unadj,11,1.0,0.09090909090909091,0.05555555555555555,0.05555555555555555,0.03333333333333333,10,0
2001,4,rich,11,1.0,0.09090909090909091,0.06666666666666667,0.08888888888888889,0.03333333333333333,10,0
2001,5,unadj,10,1.0,0.0,0.06666666666666667,0.022222222222222223,0.05555555555555555,10,0
2001,5,rich,9,0.9,0.0,0.07777777777777778,0.07777777777777778,0.05555555555555555,10,0
2001,6,unadj,10,1.0,0.0,0.06666666666666667,0.07777777777777778,0.044444444444444446,10,0
2001,6,rich,10,1.0,0.0,0.07777777777777778,0.08888888888888889,0.044444444444444446,10,0
2001,7,unadj,10,1.0,0.0,0.022222222222222223,0.05555555555555555,0.011111111111111112,10,0
2001,7,rich,10,1.0,0.0,0.022222222222222223,0.06666666666666667,0.011111111111111112,10,0
2001,8,unadj,11,1.0,0.09090909090909091,0.044444444444444446,0.03333333333333333,0.05555555555555555,10,0
2001,8,rich,10,0.9,0.1,0.044444444444444446,0.044444444444444446,0.05555555555555555,10,0
2001,9,unadj,10,1.0,0.0,0.05555555555555555,0.03333333333333333,0.044444444444444446,10,0
2001,9,rich,10,1.0,0.0,0.05555555555555555,0.022222222222222223,0.044444444444444446,10,0
2008,0,unadj,18,0.782608695652174,0.0,0.07792207792207792,0.06493506493506493,0.03896103896103896,23,0
2008,0,rich,14,0.5652173913043478,0.07142857142857142,0.06493506493506493,0.09090909090909091,0.03896103896103896,23,0
2008,1,unadj,29,1.0,0.034482758620689655,0.041666666666666664,0.027777777777777776,0.041666666666666664,28,0
2008,1,rich,14,0.5,0.0,0.05555555555555555,0.05555555555555555,0.041666666666666664,28,0
2008,2,unadj,16,0.8421052631578947,0.0,0.06172839506172839,0.07407407407407407,0.024691358024691357,19,0
2008,2,rich,13,0.6842105263157895,0.0,0.037037037037037035,0.04938271604938271,0.024691358024691357,19,0
2008,3,unadj,24,0.9545454545454546,0.125,0.10256410256410256,0.05128205128205128,0.08974358974358974,22,0
2008,3,rich,17,0.7272727272727273,0.058823529411764705,0.08974358974358974,0.07692307692307693,0.08974358974358974,22,0
2008,4,unadj,23,0.8846153846153846,0.0,0.08108108108108109,0.02702702702702703,0.06756756756756757,26,0
2008,4,rich,11,0.4230769230769231,0.0,0.05405405405405406,0.02702702702702703,0.06756756756756757,26,0
2008,5,unadj,27,0.8888888888888888,0.1111111111111111,0.0547945205479452,0.0821917808219178,0.0273972602739726,27,0
2008,5,rich,18,0.6296296296296297,0.05555555555555555,0.0547945205479452,0.0547945205479452,0.0273972602739726,27,0
2008,6,unadj,26,0.8928571428571429,0.038461538461538464,0.041666666666666664,0.041666666666666664,0.041666666666666664,28,0
2008,6,rich,14,0.4642857142857143,0.07142857142857142,0.05555555555555555,0.08333333333333333,0.041666666666666664,28,0
2008,7,unadj,21,0.875,0.0,0.02631578947368421,0.05263157894736842,0.039473684210526314,24,0
2008,7,rich,13,0.5,0.07692307692307693,0.039473684210526314,0.07894736842105263,0.039473684210526314,24,0
2008,8,unadj,24,0.8,0.0,0.08571428571428572,0.08571428571428572,0.04285714285714286,30,0
2008,8,rich,8,0.26666666666666666,0.0,0.02857142857142857,0.0,0.04285714285714286,30,0
2008,9,unadj,20,0.8260869565217391,0.05,0.06493506493506493,0.012987012987012988,0.07792207792207792,23,0
2008,9,rich,15,0.6521739130434783,0.0,0.05194805194805195,0.025974025974025976,0.07792207792207792,23,0
2009,0,unadj,6,,1.0,0.18,0.22,0.03,0,0
2009,0,rich,6,,1.0,0.13,0.17,0.03,0,0
2009,1,unadj,10,,1.0,0.21,0.19,0.04,0,0
2009,1,rich,8,,1.0,0.16,0.14,0.04,0,0
2009,2,unadj,7,,1.0,0.24,0.26,0.01,0,0
2009,2,rich,0,,0.0,0.14,0.14,0.01,0,0
2009,3,unadj,10,,1.0,0.17,0.2,0.05,0,0
2009,3,rich,5,,1.0,0.18,0.19,0.05,0,0
2009,4,unadj,12,,1.0,0.23,0.26,0.07,0,0
2009,4,rich,4,,1.0,0.2,0.19,0.07,0,0
2009,5,unadj,4,,1.0,0.18,0.22,0.03,0,0
2009,5,rich,3,,1.0,0.07,0.09,0.03,0,0
2009,6,unadj,6,,1.0,0.17,0.21,0.05,0,0
2009,6,rich,3,,1.0,0.14,0.19,0.05,0,0
2009,7,unadj,7,,1.0,0.11,0.2,0.05,0,0
2009,7,rich,4,,1.0,0.1,0.12,0.05,0,0
2009,8,unadj,12,,1.0,0.19,0.21,0.02,0,0
2009,8,rich,4,,1.0,0.17,0.22,0.02,0,0
2009,9,unadj,10,,1.0,0.21,0.22,0.06,0,0
2009,9,rich,4,,1.0,0.17,0.18,0.06,0,0
