cell,method,arm,weight,fdp,fdp_sem,tpr,tpr_sem,tprP,typeI,nrej,nfail,secs
2001,ldm,A1n,none,0.0432,0.0259,0.97,0.0213,0.97,0.0658,10.2,0.3,92.14
2001,ldm,A2,Wdet,0.0539,0.0236,0.98,0.0133,0.98,,10.4,0.3,
2001,ldm,A2,Winfo,0.0689,0.0306,0.98,0.0133,0.98,,10.6,0.3,
2002,ldm,A1n,none,0.0589,0.0205,0.85,0.0342,0.98,0.0661,9.1,0.5,97.22
2002,ldm,A2,Wdet,0.0202,0.0136,0.87,0.0367,0.98,,8.9,0.5,
2002,ldm,A2,Winfo,0.0384,0.0208,0.87,0.0367,0.98,,9.1,0.5,
2003,ldm,A1n,none,0.0167,0.0167,0.28,0.049,,0.0475,2.9,1.6,31.4
2003,ldm,A2,Wdet,0.0375,0.0375,0.33,0.0496,,,3.6,1.6,
2003,ldm,A2,Winfo,0.0333,0.0222,0.33,0.0496,,,3.5,1.6,
