cell,rep,method,arm,weight,secs,nfail,nrej,fdp,tpr,tprP,typeI
2003,3,ldm,A2,Winfo,,3,2,0.0,0.2,,
2003,4,ldm,A1n,none,33.1,0,3,0.0,0.3,,0.07777777777777778
2003,4,ldm,A2,Wdet,,0,4,0.0,0.4,,
2003,4,ldm,A2,Winfo,,0,4,0.0,0.4,,
2003,5,ldm,A1n,none,29.4,1,5,0.0,0.5,,0.056179775280898875
2003,5,ldm,A2,Wdet,,1,5,0.0,0.5,,
2003,5,ldm,A2,Winfo,,1,6,0.16666666666666666,0.5,,
2003,6,ldm,A1n,none,26.4,2,2,0.0,0.2,,0.022727272727272728
2003,6,ldm,A2,Wdet,,2,2,0.0,0.2,,
2003,6,ldm,A2,Winfo,,2,2,0.0,0.2,,
2003,7,ldm,A1n,none,57.9,4,0,0.0,0.0,,0.03488372093023256
2003,7,ldm,A2,Wdet,,4,0,0.0,0.0,,
2003,7,ldm,A2,Winfo,,4,0,0.0,0.0,,
2003,8,ldm,A1n,none,28.6,1,2,0.0,0.2,,0.02247191011235955
2003,8,ldm,A2,Wdet,,1,4,0.0,0.4,,
2003,8,ldm,A2,Winfo,,1,4,0.0,0.4,,
2003,9,ldm,A1n,none,24.0,1,2,0.0,0.2,,0.011235955056179775
2003,9,ldm,A2,Wdet,,1,3,0.0,0.3,,
2003,9,ldm,A2,Winfo,,1,3,0.0,0.3,,
