cell,rep,n,phi_hat,smoke_seen,det_tested,int_tested,nrej_acat,fdp_acat,tpr_acat,tprA_acat,tprP_acat,nrej_chisq,fdp_chisq,tpr_chisq,tprA_chisq,tprP_chisq,nrej_det,fdp_det,tpr_det,nrej_int,fdp_int,tpr_int,typeI_null,secs
1002,17,200,100000.0,False,98,93,10,0.1,0.9,0.9,,10,0.1,0.9,0.9,,0,0.0,0.0,9,0.0,0.9,0.05555555555555555,15.3
1002,18,200,100000.0,False,98,97,9,0.0,0.9,0.9,,10,0.1,0.9,0.9,,0,0.0,0.0,10,0.1,0.9,0.05555555555555555,14.5
1002,19,200,100000.0,False,99,94,9,0.0,0.9,0.9,,8,0.0,0.8,0.8,,0,0.0,0.0,8,0.0,0.8,0.044444444444444446,14.7
1004,0,200,100000.0,False,100,94,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.05555555555555555,11.8
1004,1,200,100000.0,False,98,90,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.06666666666666667,11.8
1004,2,200,100000.0,False,97,87,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.07777777777777778,11.3
1004,3,200,100000.0,False,100,93,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.044444444444444446,11.4
1004,4,200,100000.0,False,97,91,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.044444444444444446,11.7
1004,5,200,100000.0,False,97,86,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.044444444444444446,11.3
1004,6,200,100000.0,False,99,89,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.022222222222222223,11.5
1004,7,200,100000.0,False,98,92,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.05555555555555555,11.0
