cell,method,arm,weight,fdp,fdp_sem,tpr,tpr_sem,tprP,typeI,nrej,nfail,secs
2001,deseq2,A0,none,0.0,0.0,0.06,0.0245,0.06,0.0123,0.6,0.45,593.58
2001,deseq2,A2,Wdet,0.0,0.0,0.115,0.0372,0.115,,1.15,0.45,
2001,deseq2,A2,Winfo,0.025,0.025,0.1,0.0355,0.1,,1.05,0.45,
2002,deseq2,A0,none,0.01,0.01,0.14,0.0373,0.05,0.0079,1.45,0.6,380.8
2002,deseq2,A2,Wdet,0.01,0.01,0.185,0.0425,0.09,,1.9,0.6,
2002,deseq2,A2,Winfo,0.0143,0.0143,0.185,0.0379,0.07,,1.95,0.6,
2003,deseq2,A0,none,0.0,0.0,0.025,0.0123,,0.004,0.25,2.15,70.15
2003,deseq2,A2,Wdet,0.0,0.0,0.035,0.015,,,0.35,2.15,
2003,deseq2,A2,Winfo,0.0,0.0,0.045,0.017,,,0.45,2.15,
